City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
156,Broome,US,2020-03-30 21:58:58,42.25,-75.83,48.0,81,90,8.05
157,Kahului,US,2020-03-30 21:58:58,20.89,-156.47,80.6,57,40,21.92
158,Cairns,AU,2020-03-30 21:54:24,-16.92,145.77,77.0,83,40,16.11
159,Rybnaya Sloboda,RU,2020-03-30 21:58:59,55.46,50.14,39.2,69,66,11.18
160,Lorengau,PG,2020-03-30 21:58:59,-2.02,147.27,81.61,77,100,5.64
161,Kruisfontein,ZA,2020-03-30 21:55:13,-34.0,24.73,60.67,85,0,3.18
162,Kapaa,US,2020-03-30 21:54:15,22.08,-159.32,78.8,74,40,16.11
163,Kamakhyanagar,IN,2020-03-30 21:59:00,20.93,85.55,80.26,52,0,2.19
164,Geraldton,AU,2020-03-30 21:55:48,-28.77,114.6,57.2,82,8,8.05
165,Nikolskoye,RU,2020-03-30 21:58:28,59.7,30.79,26.01,62,13,4.47
166,Ngunguru,NZ,2020-03-30 21:59:01,-35.62,174.5,63.0,94,3,3.0
167,Aden,YE,2020-03-30 21:58:09,12.78,45.04,81.27,76,9,5.79
168,Severo-Kurilsk,RU,2020-03-30 21:59:02,50.68,156.12,32.49,95,65,15.28
169,Mareeba,AU,2020-03-30 21:54:09,-17.0,145.43,77.0,83,40,16.11
170,Devonport,AU,2020-03-30 21:56:29,-41.17,146.35,59.0,93,17,5.95
171,Tortoli,IT,2020-03-30 21:59:03,39.93,9.66,53.6,100,40,6.93
172,Lavrentiya,RU,2020-03-30 21:59:03,65.58,-171.0,14.02,92,58,15.3
173,Vanavara,RU,2020-03-30 21:59:04,60.34,102.28,33.31,85,100,20.07
174,Hovd,MN,2020-03-30 21:59:01,48.01,91.64,20.05,57,0,3.24
175,Tecoman,MX,2020-03-30 21:59:04,18.92,-103.88,87.8,40,20,11.41
176,Cabo San Lucas,MX,2020-03-30 21:56:45,22.89,-109.91,86.0,31,75,5.82
177,Yar-Sale,RU,2020-03-30 21:59:05,66.83,70.83,8.87,93,2,10.2
178,Feijo,BR,2020-03-30 21:59:05,-8.16,-70.35,81.77,88,95,0.47
179,Khorramabad,IR,2020-03-30 21:59:06,33.49,48.36,45.52,46,56,7.47
180,Ancud,CL,2020-03-30 21:54:08,-41.87,-73.82,60.8,55,0,6.93
181,Pisco,PE,2020-03-30 21:59:07,-13.7,-76.22,73.99,30,40,3.36
182,Tabuk,PH,2020-03-30 21:59:07,17.42,121.44,72.27,78,1,3.96
183,Ponta Do Sol,PT,2020-03-30 21:59:07,32.67,-17.1,64.4,48,20,9.17
184,Lenger,KZ,2020-03-30 21:59:08,42.18,69.88,53.6,40,75,8.95
185,Victoria,HK,2020-03-30 21:59:08,22.29,114.16,68.0,94,40,3.36
186,Rodrigues Alves,BR,2020-03-30 21:59:08,-7.74,-72.65,80.6,83,75,6.93
187,Rangkasbitung,ID,2020-03-30 21:59:09,-6.36,106.25,78.01,94,40,4.7
188,Seoul,KR,2020-03-30 21:56:19,37.57,126.98,39.2,51,95,2.24
189,La Asuncion,VE,2020-03-30 21:59:10,11.03,-63.86,86.0,55,29,20.8
190,Nome,US,2020-03-30 21:59:10,64.5,-165.41,17.01,56,0,18.34
191,Atambua,ID,2020-03-30 21:58:59,-9.11,124.89,72.79,76,66,2.68
192,Rapid Valley,US,2020-03-30 21:59:11,44.06,-103.15,66.0,17,75,8.05
193,Marzuq,YE,2020-03-30 21:59:11,14.4,46.47,75.74,45,0,2.15
194,Amahai,ID,2020-03-30 21:59:11,-3.33,128.92,80.15,80,100,5.14
195,Gigmoto,PH,2020-03-30 21:59:11,13.78,124.39,80.78,77,12,6.96
196,Sosnovoborsk,RU,2020-03-30 21:59:12,56.13,93.36,37.4,51,100,17.9
197,Saint-Georges,GD,2020-03-30 21:54:23,12.06,-61.75,84.2,58,20,17.22
198,Vila Velha,BR,2020-03-30 21:55:24,-20.33,-40.29,80.6,74,75,8.05
199,Meulaboh,ID,2020-03-30 21:59:13,4.14,96.13,78.21,82,86,3.85
200,Torbay,CA,2020-03-30 21:59:13,47.67,-52.73,32.0,100,90,18.34
201,Airai,TL,2020-03-30 21:59:14,-8.93,125.41,60.03,62,94,2.01
202,Ambon,ID,2020-03-30 21:59:14,-3.7,128.18,77.0,100,40,4.7
203,Klaksvik,FO,2020-03-30 21:59:14,62.23,-6.59,42.8,81,95,19.46
204,Praia,CV,2020-03-30 21:59:14,14.92,-23.51,73.4,73,75,16.11
205,Farafangana,MG,2020-03-30 21:59:16,-22.82,47.83,76.71,78,0,2.04
206,Ponta Delgada,PT,2020-03-30 21:59:16,37.73,-25.67,59.0,77,40,11.41
207,Bilibino,RU,2020-03-30 21:59:17,68.05,166.44,11.07,90,100,3.74
208,Neiafu,TO,2020-03-30 21:59:17,-18.65,-173.98,82.72,81,90,14.27
209,Thaba Nchu,ZA,2020-03-30 21:54:50,-29.21,26.84,59.0,82,100,13.87
210,Saldanha,ZA,2020-03-30 21:59:19,-33.01,17.94,59.0,77,38,6.93
211,Katsuura,JP,2020-03-30 21:59:19,35.13,140.3,50.0,76,75,9.17
212,Linhai,CN,2020-03-30 21:59:19,28.85,121.12,53.01,82,84,1.01
213,Pingliang,CN,2020-03-30 21:56:48,35.54,106.69,42.93,39,100,1.23
214,Contamana,PE,2020-03-30 21:59:20,-7.33,-75.02,92.91,42,67,1.03
215,Nioki,CD,2020-03-30 21:59:20,-2.72,17.68,73.18,85,65,2.71
216,Khowst,AF,2020-03-30 21:59:21,33.38,69.88,49.51,57,100,1.14
217,Saint-Philippe,RE,2020-03-30 21:58:48,-21.36,55.77,78.8,94,50,9.17
218,Chernyshevskiy,RU,2020-03-30 21:59:22,63.01,112.47,22.28,92,100,19.33
